V1,V2,V3
5,5,136295.771148807
5,4,256252.330450487
6,6,1831567
4,4,2405383
6,5,2405383
7,7,3377405.98190926
7,4,3747449.847288
7,5,4060944.05932426
7,6,4390846.40146339
8,8,4525151.25012633
8,4,4394634.40305473
8,5,5090693.4698951
8,6,5593362.12397969
8,7,5593362.12397969
8,7,5593362.12397969
5,5,136295.771148807
5,4,256252.330450487
7,7,3377405.98190926
7,4,3747449.847288
7,5,4060944.05932426
7,6,4390846.40146339
8,8,4525151.25012633
8,4,4394634.40305473
8,5,5090693.4698951
8,6,5593362.12397969
8,7,5593362.12397969
8,7,5593362.12397969
5,5,136295.771148807
5,4,256252.330450487
7,7,3377405.98190926
7,4,3747449.847288
7,5,4060944.05932426
7,6,4390846.40146339
8,8,4525151.25012633
8,4,4394634.40305473
8,5,5090693.4698951
8,6,5593362.12397969
8,7,5593362.12397969
8,7,5593362.12397969
