actualtot,pred.tot,cl.tot,variance,crps
2350028851.97855,2326171871.8811,2972902745.80135,419722106307902,3469335.34550914
2366961678.48026,2340529685.25137,2886616953.1703,655153767354498,4347329.59238348
2305707132.32478,2290039069.5326,2962308341.19323,536742400008273,4121900.84575287
2314671773.77724,2314486788.95701,2911822394.64081,582689270386040,4385362.19563072
2366518476.27149,2344481050.84996,2927890387.21653,873237246820077,3682173.11006724
2351579508.69422,2285050668.78295,2949312229.94302,322799382980453,2561781.39350763
2324904920.24895,2311086474.18992,3014189810.57869,499603574103044,4305184.10342911
2330868855.41691,2318442788.45288,3044981872.11363,575878724749026,3769623.41411233
2376506345.44176,2339802583.12601,2892919334.5458,711560431439095,4461679.25086504
2361353640.74325,2300319179.64396,2964618290.19439,425214579158358,2659461.01650518
2445735464.33054,2433834182.62046,2955835322.04777,1005322945571920,5853742.76793574
2362508091.4339,2300226603.92012,2982429078.45687,456432092917730,3790286.42043137
2336976370.9013,2341611582.02149,2958857905.86185,705461640918609,4930200.79527566
2375502719.25453,2380969842.11992,3027775677.62907,879491192670897,5690664.24898945
2390770350.1423,2345199894.73988,2943210983.93529,641352213325107,3877013.27748962
2332672770.72206,2291804560.10826,2921362709.60208,750124873458010,4045532.36783924
2360400265.34706,2301095768.63699,2960598475.88524,418724406296910,3126896.12187189
2411241588.23007,2381910096.60288,3083375655.10612,732828294316593,4650644.7791008
2358965333.69648,2301370346.43783,2992372450.91579,474756206585186,3429126.08046448
