actual.tot,pred.tot,cl.tot,hirem.tot,aj.msep,hirem.msep,cl.msep,mcrps,crps.hirem
43046092.6771166,42908470.7599664,47607331.9016694,41639432.5886791,333806.344049479,243999.968975251,24928.4349971867,11925.2145581672,15202.3876447266
42531517.2468048,42812813.8419119,48367786.4965678,41493747.1647479,339029.429254358,252577.296825442,638930.588670121,10561.5133913311,16382.0107663006
42511389.434976,42400765.0072666,46890642.7194853,41101348.8494921,316763.747263183,230938.111476005,799906.897582969,11928.4672320129,19850.1867223071
42499402.0228658,42369575.9551689,46602236.7084334,40908820.2911382,328824.411729648,254846.962884305,336341.433081206,11710.8653655581,17135.6826081925
41848217.3883583,41896537.3783015,44905764.8946291,39885673.4265295,324539.784463201,257078.649792196,304638.671465597,10716.1491306267,15553.4317906339
42565943.8341616,42734208.6119532,48228191.5983373,41727668.5554127,334566.605182467,231650.02695156,734142.962988649,11598.3084546702,16027.5438494052
41860673.8627754,42502754.5299762,45736777.4129366,40784596.2071577,376510.411203046,258447.451575684,502266.212527191,11074.5788340333,19488.1826310709
43016777.0293089,43500329.3894666,46670878.9038271,41497956.9123756,349817.509495907,231642.726466166,153317.218217236,10768.7621887854,16149.3925223291
41488214.8791145,41408005.0519228,45489254.3707278,40238623.088109,293179.418725173,231708.7816627,382398.795554414,10884.8927480205,12560.2113682258
42360533.3809317,43035403.3589506,46607702.7641556,41206169.6000701,360358.819968369,211888.43687838,125147.402999295,9938.88899499226,14298.1909273525
41872679.9265678,41992102.0965871,44439147.7300708,39697540.9845033,366510.903114519,225515.088864206,1232412.08475995,10366.3185584514,19265.3923742976
42374391.7886624,42641174.9562979,44648345.43499,40065705.2783476,359007.247167321,224004.601058141,348191.546207576,12033.1939010562,15368.8225724763
41976921.5959482,42412440.0550266,48371859.404243,41929598.2258817,330191.849529794,294175.38475376,169720.024456263,11658.6433807982,24740.6727945004
42605562.3633903,42904653.5085072,46298082.1007274,40846577.7077615,344088.305666189,225035.804898792,322801.888142984,10832.8440353573,28970.9519493862
41925397.0912343,42619830.1094848,47151097.2784576,41341143.8935366,416085.484296937,257547.944106471,95563.5973505649,11546.911912792,13944.394949326
42393873.3230475,42700889.2018599,46333788.3759751,40736836.5996061,337053.800564557,218956.706343415,326317.827793904,11451.097092327,20277.6407648501
42367517.3858,42432147.0047272,48137682.9253165,42107023.9455281,321587.922186395,260150.603290709,189761.084299874,11520.7499727116,16131.8445703253
41429032.2817173,41871286.947168,46251018.9126024,41037362.3977864,327501.969203529,289108.371095406,261238.368547086,10200.5618897758,17068.0613671597
42963794.2759562,43437626.969305,48492437.91214,42578344.5989967,367800.36574986,279434.937124231,27458.4879977594,11040.9144112847,15931.3870587374
41949760.2587114,42329728.9244213,45830422.8635822,40864006.3072186,332016.295355683,249799.063641383,291689.567312414,10403.9779806975,16307.0681035976
