actual.tot,pred.tot,cl.tot,aj.msep,cl.msep,mcrps
146876803.248659,152685991.712335,185806421.612585,548939.974316058,1524216.35276732,131401.67034438
146293478.63349,149140758.712691,183526879.894175,534725.898493197,1431810.36060577,134394.677423886
147935104.905016,157409735.392503,180413559.573144,727886.031653161,1222890.28268175,97682.1283267772
150799231.967938,150554051.140066,186289492.828705,501261.625107899,2170949.04250198,108126.853830008
144106695.770299,149600947.364927,185144271.324577,579977.231708878,3554846.71320503,114424.252465659
147740081.027259,152308847.277542,185037931.363036,655707.695667488,1740760.75432989,142968.108868654
144666985.861078,155062615.327692,181988899.66505,720584.218981343,2004747.37013682,146920.008210447
147626191.668321,152058047.427452,187046521.53396,531557.180059243,1005120.82549091,123123.216317227
147907404.766968,156884849.398607,182993149.201033,773389.716256057,1060322.42458464,154463.919203995
147868089.210039,151490027.225827,184269809.952751,540825.586670136,2110189.98894007,125722.11573173
146973719.293389,151781351.794747,184332014.371438,682864.72916032,1939829.17889605,138275.406516823
142981892.248636,144585876.120297,183016300.785521,513568.448756632,1785923.81269191,119872.629205
145306557.515559,150150828.494894,188386863.161168,524016.292478098,1885370.46286103,110118.06525347
147392475.528081,148360957.531933,182056006.595733,519923.652603956,2661840.96597593,119379.4197937
145679303.463557,150818529.992311,190311367.007102,532904.22655799,1813120.98265738,111615.691812661
144237099.709754,149120418.46101,183865233.844761,535069.354304132,1487150.26454696,142619.516710399
148531646.59011,156820374.715299,180807458.409113,755877.463920436,1868742.90278377,127578.048740461
146237046.371265,146859147.880971,176501743.431955,529181.35643704,3080450.46780934,110134.644318121
147584602.546453,152474807.479583,185288643.13715,545925.787672373,2435736.58844904,93281.2537430379
147448827.204229,156473168.15729,179237069.448578,703545.429671992,1017146.4040802,129384.723837987
