actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps
117995036.36156,113364744.496856,149397852.602408,614854271379.959,747871.442533745,39288.7119389464
115416253.08017,111501109.979039,145384932.263639,421786395847.213,817156.033597362,30024.3688753137
116161435.288485,112465365.899566,143438395.028224,893321285595.31,740742.060348869,37843.441128933
117829272.871818,114663249.073851,148194297.489267,804133600909.02,1092594.34345568,40294.1599031905
114484208.488134,111905473.165185,148630969.628172,714257506658.505,1659861.12235878,34319.6603451729
117156188.782247,112492374.083013,145920455.58077,699467623998.857,1367436.51153391,41854.1412386106
114540577.219257,110848977.88108,144535355.019379,573745827723.984,1348144.41822193,38333.5328659716
116758432.919819,113515509.707953,147313336.300969,912679456358.456,779980.028405952,39222.5427949302
116482477.902198,112923980.176252,144139524.146064,1087385441799.86,820969.493194395,42265.8559626173
115229105.628752,112523993.029957,145245444.876362,1200503580726.51,1393691.67340919,35466.5142981192
116558536.969274,111449268.028378,145939767.704522,489069717588.447,1250094.91334504,37175.1454802289
113935510.942638,110325004.05684,146216445.081278,575919248962.299,1042709.38085697,36781.5917133414
113576431.030727,110376600.554979,147658142.692042,575968854472.214,1198685.43891856,36307.2981403866
117752518.363002,112339455.433222,143214630.441899,577624209769.118,1246819.80168554,39406.8732262242
114068564.782103,112856832.977252,147568387.31829,778494647910.475,1329757.38714947,30465.1207031826
117104994.752169,114638957.129428,149353749.909264,950676895873.344,960796.592740239,36016.7115481104
118163945.085927,114563785.387058,143962884.466924,1219752414047.33,1329250.19724732,41961.5267413339
116087083.698742,111475468.488413,138271633.041118,652922411969.885,1274684.44908489,38129.2553083035
115867210.195126,112037625.98857,146119733.134638,671941679897.164,1261869.63226374,38475.6819620351
115463753.380602,111888467.422155,142455805.675445,629387182772.971,536519.314691812,37443.5487997759
