pred.tot,pred.tot.nf,actual.tot,cl.tot,hirem.tot,var.aj,var.aj.nf,var.hirem,var.cl,crps.aj,crps.nf,crps.hirem
53478165.2426834,53495182.8463081,50278215.1156238,61974469.3534519,50944329.9622396,39123145331.108,40718940189.17,9004007742.31726,689040.544191768,830.437513420898,833.681439392944,676.329045660288
54627507.129611,54179101.7016991,50624593.9967426,62483117.6892356,51312534.1880092,61207311898.1037,50712966336.9736,9297761422.56974,609212.7082459,849.34746227853,849.631153078937,646.206124238427
54043190.514138,53671405.0119641,50358920.3105828,62230009.1885154,51112075.3423749,49641810111.9099,42868450918.8782,9450233119.3261,611539.000682656,823.128080727124,823.878335722105,632.715670973743
53250544.6426859,53207276.6549997,50363130.0362271,61939748.6602537,50962304.388283,38144318771.7847,38875635436.3112,9611168934.11432,655040.258274031,832.128305470936,833.375181305429,663.820335876974
52707602.3354986,52749971.1754493,49592795.0052856,61127733.7732553,50134960.3056022,45618200694.8717,49576198551.9322,8848096534.09839,562403.613832492,815.579136449212,815.045286804414,633.690315302241
53499988.4312882,53338886.4451025,50041022.389634,61641172.7532266,50660688.0476637,46888152881.0301,45572246527.8591,9120753652.11364,555417.278095832,818.77606620495,819.437612508662,647.816193236321
53448291.1655792,53743677.0824462,49919332.1462161,61566975.9090507,50376637.7753344,63662231456.4413,95858507200.5138,9183433034.38254,618407.771967144,850.133502745414,850.620010062536,657.121009699844
53709161.5746762,53789577.5068015,50292161.6471091,61618888.5663928,50969623.7449897,44058116039.6877,49894528661.0326,9158931858.75959,651988.847871206,824.367882674242,825.694197072914,673.724780040151
54731305.4218538,54003976.812512,50316836.1753104,61799244.6117873,50746874.2136844,112317672199.693,73168639904.5051,9146996631.1104,667069.462740412,855.666711231299,855.176575061793,655.728469304171
54038846.6953619,53783305.3777591,50616492.2312086,62415241.1869099,51336989.9674463,47785790694.7951,43101103691.2672,9420753908.54164,661793.511717909,832.722750257691,834.893405009469,651.413835780343
