pred.tot,pred.tot.nf,actual.tot,cl.tot,hirem.tot,var.aj,var.aj.nf,var.hirem,var.cl,crps.aj,crps.nf,crps.hirem
61482343.7589675,61182532.0161411,57470388.3923228,71977611.1336434,58287797.8137842,55431079549.9648,54321972984.6184,12537667926.5857,716930.991436643,938.443184582862,941.179258734139,745.549268514286
64172223.7171417,63480673.5932315,58636266.7244713,73025902.1552972,59346808.5064815,121998712224.644,106747538151.051,13056124226.7045,797991.307360395,948.649793648352,950.647330479849,764.405491446244
61279463.1257798,61126108.7304194,57673689.8010629,71415550.5056859,58387220.6409415,49432691925.0039,47606077345.4475,12382475552.7502,761936.664007122,932.197225576376,932.865208174007,715.630030780795
64050053.1996909,63246519.789045,58454256.2418398,72327631.3841811,59404951.1686279,113847314688.524,102484365664.628,13453175195.5155,792051.549533871,949.883019545063,953.710773772482,745.052365343184
61075008.2489529,60914350.8621217,57285776.5519875,70579906.9034475,58374086.0034105,49494301701.8377,48261233336.5181,12961604080.7506,780718.741489086,920.96802062626,922.088577081313,724.446137943247
62376519.905655,61959942.3202534,58156131.7787232,72301803.5076816,58922550.4782607,65618000300.3116,58908847676.4667,13373546214.0123,709873.32192752,940.142795565211,941.990900791444,757.49309181993
61753918.6964948,61673068.123114,57839161.9978037,71726759.6458907,58756596.3238124,62099951396.0007,61133126345.6788,12998259368.8097,683330.818866244,939.709844489827,942.047826972825,751.800559518438
61665935.8521251,61621732.3321911,58105162.1442748,71929443.017056,58720090.7479311,58746745969.8059,59696382723.6344,12715475098.5942,638624.212342684,969.650363531737,971.423312717641,754.034463471777
60580952.07761,60453792.0987015,57405630.0375766,70991495.5555886,57812047.0640874,50140375980.6724,48224934864.7018,12456654571.2753,748715.021186201,948.27160594908,950.618511758692,754.004209894683
61452653.0440477,61223112.7887109,57773459.0828981,71180251.4070284,58805302.2229896,51164143220.0532,47573005102.8339,13280392241.5809,661962.089819242,928.00286193703,928.437430368485,742.193012838579
