pred.tot,pred.tot.nf,actual.tot,cl.tot,hirem.tot,var.aj,var.aj.nf,var.hirem,var.cl,crps.aj,crps.nf,crps.hirem
53487418.0135196,53502163.9374956,50278215.1156238,61939145.1433612,50917954.5651273,38657456127.6773,40377968392.8317,8532494731.20794,680323.587672659,866.429360887281,869.675754882258,656.88616893271
54481725.3095271,54035490.5811498,50624593.9967426,62402845.7293213,51200099.1714773,58931241163.1879,48608346859.2316,8793722647.97508,568478.916217678,880.304801066167,880.835083966761,664.48766456769
53902866.8258476,53527383.3901603,50358920.3105828,62161227.8836401,51006637.5297879,47564158671.9945,40782181483.4881,8599148544.85093,604322.398273499,852.208640425061,853.046926518393,631.376396465342
53207034.4535405,53161247.772505,50363130.0362271,61901398.8838149,50906649.347838,37286661652.7078,38016513743.6721,8904721787.79654,642182.668000626,871.570152324682,873.076638763224,677.217658095416
52595333.842115,52608125.1341822,49595371.3685077,61067152.880586,50073662.1662513,43739393834.0464,47175076958.614,8177181075.05345,543511.353114038,845.773453515612,845.153915453811,661.365912901084
53473156.3119208,53306319.464316,50041022.389634,61592577.9728821,50658321.2554401,45642826620.3965,44257568498.9075,8555742813.98451,523071.735821864,852.717591042264,853.528921467608,658.204187864551
53431035.9938915,53683496.4158805,49919332.1462161,61503721.5330373,50227003.3071423,61743927275.9788,91175702348.8723,8229629298.27274,629998.890002599,873.462975825457,874.103480289491,680.633941954834
53630545.467086,53703547.101677,50292161.6471091,61551423.5571593,50885647.8326262,42380101851.0436,48140914166.2282,8580599058.58177,608071.222344586,852.293903474279,853.810497202664,683.868937601388
54639459.4712773,53890845.7900391,50316836.1753104,61732621.6443657,50621233.8788742,110038873671.203,69888938247.3593,8453050775.27632,653931.341470381,888.343348302118,888.021587731664,675.022908665596
54072670.4591617,53807411.2272888,50621181.7741725,62373107.5979165,51346628.4152138,47027924257.424,42284521003.9369,8891792336.97864,651795.373780177,861.136661548889,863.277865872836,635.580606427563
