actual.tot,pred.tot,cl.tot,variance,cl.msep,mcrps,true.ultimate
1983095731.44691,1946511571.83995,2512468384.24312,162259937068959,16841076.3347693,410563.689670738,1955374965.13903
1940667836.83792,1900950272.94198,2406573147.88918,137021605424833,14503635.7134385,395816.490322703,1955374965.13903
1930163250.96073,1905407750.13091,2526801113.43933,150413872058017,33814653.7586552,412462.423120682,1955374965.13903
1933770860.62883,1885091568.65919,2396410205.51804,156160071937539,27042562.202862,460290.267172356,1955374965.13903
1951564741.8707,1900389052.98157,2411585602.1849,161391936255870,19194314.4919467,437310.457137572,1955374965.13903
1938672412.888,1924230377.86619,2455817784.40201,156659308167163,28388327.1505428,362555.043986687,1955374965.13903
1931551325.30691,1900857048.71827,2494208048.32471,197144399261258,17166980.3965456,442956.010428237,1955374965.13903
1947290275.15962,1951788215.88676,2549371779.81302,165314618096993,16817005.7404926,348457.813045932,1955374965.13903
1941188134.38521,1918626550.92866,2443384364.24536,144300539064256,14224601.2184152,380948.506984136,1955374965.13903
1937791754.97845,1911708502.50652,2506550399.38109,127700474405188,21318419.4635929,374024.699624641,1955374965.13903
1997146951.34888,1928412131.8217,2485602224.56522,122671615876980,22674153.3907357,426871.661393812,1955374965.13903
1955001207.55076,1940118857.6138,2452592701.94954,199004636786401,9214770.37648878,395644.137124302,1955374965.13903
1932633320.99468,1900104020.42301,2444509055.57321,172307830425211,24933107.4322562,425993.603175113,1955374965.13903
1968724035.75983,1919609915.24186,2468550104.2736,180082479526398,40411924.8822002,460001.363591261,1955374965.13903
1985751572.39849,1964880829.15098,2503829494.66137,190135671796667,16152403.8517202,411574.785673335,1955374965.13903
1928005060.77992,1906862764.32673,2423299298.00514,143096321344684,13334499.4489329,396631.133394756,1955374965.13903
1970189461.76118,1930053350.69567,2461158445.77204,129030038963503,17786982.4859872,418082.804416941,1955374965.13903
1980471544.58402,1956132909.34606,2563928648.06361,201367013119932,19681277.5170468,421812.147622634,1955374965.13903
1947304119.91691,1902465736.63329,2555079984.2057,121114010075547,32696373.8480867,416941.184321871,1955374965.13903
