actual.tot,pred.tot,cl.tot,variance,mcrps,true.ultimate
4152736015.71429,1188182589.88132,1749884735.78145,372786618621.617,14255.6725675946,4156635415.47748
4083007336.6007,1238458489.92948,1718983624.22301,443349146863.682,15850.1474874658,4156635415.47748
4061194824.00727,1201911635.76491,1728681247.99381,532640499490.522,15969.575019423,4156635415.47748
4257390448.16387,1143745469.45507,1725413209.64119,6889565230.6799,2773.36433325242,4156635415.47748
4022808872.9322,1178735019.09117,1692756732.60315,480469451919.364,14105.2648689257,4156635415.47748
4293045354.66305,1303960155.99456,1784286208.98022,2787672113502.34,24548.6902570013,4156635415.47748
4297397898.66854,1289628891.35478,1837679411.62913,584262068463.488,16355.3957256337,4156635415.47748
4200869923.14349,1221656606.02216,1767746453.21968,309076283388.468,13440.4152834406,4156635415.47748
4106659794.31318,1239682457.85904,1738924155.10638,2765817898120.48,21753.0838405742,4156635415.47748
4151247835.84742,1373019323.5431,1813096559.98261,609636981014.112,19418.2089833169,4156635415.47748
4011670762.33967,1224629172.17026,1718321160.92035,26255708917.1408,5178.96907500996,4156635415.47748
3977624821.98384,1197811931.94507,1762634649.3361,396666334182.378,15870.0857957598,4156635415.47748
4261894443.1637,1365690257.53427,1752293219.44876,2619441527120.23,15811.3865230713,4156635415.47748
4109791838.65034,1202359538.0295,1765282362.2924,610911019867.079,18234.024816277,4156635415.47748
4077000177.3608,1250168845.24931,1761863394.27384,625105745184.38,18800.0341304711,4156635415.47748
4220064733.50687,1345563380.01869,1778225648.17665,1425123383601.34,19710.86232823,4156635415.47748
4193609376.13653,1203310057.90112,1759195969.38756,339411035939.628,13957.0263082098,4156635415.47748
4178274087.50085,1256653920.892,1752772885.07835,5028293001518.71,27207.0924814478,4156635415.47748
4192212966.04682,1171752827.92911,1692347683.14473,700899172438.208,16398.5316419156,4156635415.47748
